WA,3657.34782609
WI,7173.57407407
WV,2811.75
FL,7655.7247191
FM,0
WY,878.272727273
NH,871.80952381
NJ,4410.61805556
NM,8251.52083333
NC,5912.25280899
ND,1554.72
NE,4274.9787234
NY,1875.45549738
RI,1579.19230769
NV,10978.9545455
GU,440.0
CO,6293.13793103
CA,3480.38599106
GA,7081.39506173
CT,3485.21176471
OK,5791.60824742
OH,5432.30650155
KS,3482.66666667
SC,7842.32380952
KY,5274.14141414
OR,5428.55555556
SD,2203.34615385
DE,2385.35294118
DC,13278.9130435
HI,9933.5
PR,4929.63768116
PW,0
TX,4936.23002421
LA,5162.73267327
TN,6406.46938776
PA,4658.8277635
VA,7505.38181818
VI,328.0
AK,957.875
AL,9407.57333333
AS,0
AR,4732.925
VT,519.571428571
IL,3529.05283019
IN,10384.4166667
IA,6935.57142857
AZ,8137.84166667
ID,8551.79487179
ME,2529.0952381
MD,7567.66666667
MA,2803.79569892
UT,6703.35294118
MO,4597.46368715
MN,5283.91946309
MI,6593.43243243
MH,0
MT,799.961538462
MP,0
MS,7171.46296296
