Washington,42.7823
Wisconsin,32.6243
West Virginia,24.1089
Florida,142.8962
Wyoming,4.6531
New Hampshire,11.4808
New Jersey,58.3276
New Mexico,17.5852
North Carolina,67.3087
North Dakota,10.801
Nebraska,15.4613
New York,168.8108
Rhode Island,8.7562
Nevada,13.9315
Colorado,40.2091
California,243.7096
Georgia,56.3996
Connecticut,31.2434
Oklahoma,54.6764
Ohio,115.069
Kansas,35.9429
South Carolina,32.0788
Kentucky,27.8566
Oregon,27.2851
South Dakota,11.0261
Delaware,4.7337
District of Columbia,6.5497
Hawaii,9.3053
Texas,143.0626
Louisiana,33.501
Tennessee,64.7513
Pennsylvania,131.1987
Virginia,55.0692
Alaska,4.0673
Alabama,32.4156
Arkansas,25.1831
Vermont,11.968
Illinois,83.2122
Indiana,37.31
Iowa,30.0139
Arizona,43.1214
Idaho,8.8172
Maine,13.7492
Maryland,33.1012
Massachusetts,59.6401
Utah,22.8055
Missouri,60.6738
Minnesota,47.588
Michigan,58.7619
Montana,9.7698
Mississippi,18.4631
