Washington,73.2177
Wisconsin,75.3757
West Virginia,46.8913
Florida,249.1038
Wyoming,6.3469
New Hampshire,27.5192
New Jersey,99.6725
New Mexico,30.4148
North Carolina,124.6913
North Dakota,18.199
Nebraska,33.5387
New York,258.1892
Rhode Island,14.2438
Nevada,31.0685
Colorado,77.7909
California,418.2906
Georgia,112.6004
Connecticut,56.7566
Oklahoma,88.3236
Ohio,227.9314
Kansas,57.0571
South Carolina,72.9213
Kentucky,76.1434
Oregon,64.7149
South Dakota,18.9739
Delaware,14.2663
District of Columbia,11.4503
Hawaii,14.6947
Texas,290.9375
Louisiana,88.499
Tennessee,109.2487
Pennsylvania,227.8016
Virginia,108.9308
Alaska,5.9327
Alabama,57.5844
Arkansas,57.8169
Vermont,11.032
Illinois,195.788
Indiana,89.6901
Iowa,59.9861
Arizona,83.8786
Idaho,33.1828
Maine,25.2508
Maryland,62.8988
Massachusetts,117.3599
Utah,55.1945
Missouri,127.3262
Minnesota,85.412
Michigan,129.2385
Montana,20.2302
Mississippi,41.537
